Date Sampled,Street,City,State,Zip,1st Draw,3 Minute,5 Minute
6/19/18,00 E Elm St,Chicago,IL,60611,0.99,0.99,0.99
9/25/16,00 E. 101st St.,Chicago,IL,60628,2.3,1.3,1.3
5/8/17,00 E. 121st St.,Chicago,IL,60628,54,15,9.5
11/2/16,00 E. 72nd St.,Chicago,IL,60619,0.99,0.99,0.99
5/10/16,00 E. 89th Pl.,Chicago,IL,60619,0.99,0.99,0.99
3/5/16,00 E. 89th Pl.,Chicago,IL,60619,0.99,0.99,0.99
2/22/16,00 E. 89th Pl.*,Chicago,IL,60619,0.99,0.99,0.99
10/4/16,00 E. 90th St.,Chicago,IL,60619,0.99,0.99,0.99
1/24/18,00 E. Bellevue Pl.,Chicago,IL,60611,0.99,0.99,0.99
8/28/16,00 E. Division St.,Chicago,IL,60610,1.6,1.5,1.2
8/6/18,00 E. Division St. ,Chicago,IL,60610,5.4,6.7,6
6/28/18,00 E. Elm St.,Chicago,IL,60611,0.99,0.99,0.99
6/15/18,00 E. Jackson Blvd.,Chicago,IL,60604,0.99,0.99,0.99
4/21/16,00 E. Scott St.,Chicago,IL,60610,1.54,3.41,1.59
2/18/16,00 E. Scott St.*,Chicago,IL,60610,2.09,3.54,0.99
7/29/18,00 Michigan Ave.,Chicago,IL,60602,0.99,0.99,0.99
11/8/16,00 N. Lasalle St.,Chicago,IL,60602,0.99,0.99,0.99
12/1/16,00 N. Peoria St.,Chicago,IL,60607,0.99,0.99,0.99
12/1/16,00 N. Peoria St. 2f,Chicago,IL,60607,0.99,0.99,0.99
12/11/16,00 N. Peoria St. 2g,Chicago,IL,60607,0.99,0.99,0.99
6/18/17,00 S. Ashland Ave. ,Chicago,IL,60607,0.99,0.99,0.99
6/14/16,00 S. Laflin St.,Chicago,IL,60607,0.99,0.99,0.99
6/3/18,00 W 72nd St,Chicago,IL,60621,1.8,1.8,1.7
6/30/18,00 W. 15th St.,Chicago,IL,60605,0.99,0.99,0.99
4/6/16,00 W. 15th St.,Chicago,IL,60605,0.99,0.99,0.99
2/11/16,00 W. 15th St.*,Chicago,IL,60605,0.99,0.99,0.99
1/10/18,00 W. Burton Pl.,Chicago,IL,60610,0.99,0.99,0.99
10/14/16,00 W. Chestnut St.,Chicago,IL,60610,0.99,0.99,0.99
7/17/18,00 W. Delaware Pl.,Chicago,IL,60610,0.99,0.99,0.99
6/4/18,00 W. Goethe St.,Chicago,IL,60610,0.99,0.99,0.99
8/22/17,00 W. Goethe St.,Chicago,IL,60610,0.99,0.99,0.99
8/9/16,00 W. Schiller St.,Chicago,IL,60610,0.99,0.99,0.99
6/10/18,100 E. 18 St.,Chicago,IL,60616,0.99,0.99,0.99
12/1/16,100 E. 21st St.,Chicago,IL,60616,0.99,0.99,0.99
6/17/18,100 E. 21st St.,Chicago,IL,60616,0.99,0.99,0.99
10/27/16,100 E. 70th St.,Chicago,IL,60637,0.99,0.99,0.99
11/15/16,100 E. 83rd St.,Chicago,IL,60619,8.5,14,2.9
6/5/16,100 E. Bellevue Pl.,Chicago,IL,60611,0.99,0.99,0.99
7/25/16,100 E. Chestnut St.,Chicago,IL,60611,0.99,0.99,0.99
12/30/16,100 E. Chestnut St.,Chicago,IL,60611,0.99,0.99,0.99
7/17/17,100 E. Delaware Pl.,Chicago,IL,60611,0.99,0.99,0.99
7/28/16,100 E. Lake Shore Dr.,Chicago,IL,60611,1,0.99,0.99
2/1/17,100 N. Canal St. ,Chicago,IL,60606,0.99,0.99,0.99
10/9/16,100 N. Damen Ave.,Chicago,IL,60612,2.3,1.6,1.5
7/15/18,100 N. Garland Ct.,Chicago,IL,60602,0.99,0.99,0.99
11/28/16,100 N. Harbor Dr.,Chicago,IL,60601,0.99,0.99,0.99
8/30/17,100 N. Harbor Dr.,Chicago,IL,60601,0.99,0.99,0.99
5/31/18,100 N. Harbor Dr.,Chicago,IL,60601,0.99,0.99,0.99
4/13/18,100 N. Harbor Dr.,Chicago,IL,60601,0.99,0.99,0.99
6/19/18,100 N. Harbor Dr. ,Chicago,IL,60601,1.3,0.99,0.99
7/31/18,100 N. La Salle St. ,Chicago,IL,60602,0.99,0.99,0.99
6/28/16,100 N. Lamon Ave.,Chicago,IL,60644,2.6,3.1,1.8
4/17/18,100 N. Laramie Ave.,Chicago,IL,60644,0.99,0.99,0.99
7/18/18,100 S Canal St,Chicago,IL,60606,0.99,0.99,0.99
5/4/17,100 S. Green St.,Chicago,IL,60607,0.99,0.99,0.99
5/9/17,100 S. Morgan St. ,Chicago,IL,60607,0.99,0.99,0.99
6/13/18,100 S. Waller Ave. ,Chicago,IL,60644,1.1,1.1,1.1
7/8/18,100 W Kinzie St,Chicago,IL,60654,0.99,0.99,0.99
6/5/18,100 W. 127th St.,Chicago,IL,60628,3.7,3.1,1.8
6/5/18,100 W. 127th St.,Chicago,IL,60628,5.3,8.3,4.4
7/3/18,100 W. Chestnut St.,Chicago,IL,60610,0.99,0.99,0.99
7/13/18,100 W. Harrison St. ,Chicago,IL,60605,0.99,0.99,0.99
5/23/16,100 W. Oak St. ,Chicago,IL,60610,2,0.99,0.99
6/18/17,100 W. Oak St. ,Chicago,IL,60610,0.99,0.99,0.99
7/3/18,100 W. Randolph St.,Chicago,IL,60601,0.99,0.99,0.99
6/14/18,1000 E 47th St,Chicago,IL,60653,0.99,0.99,0.99
12/6/17,1000 E. 41st Pl.,Chicago,IL,60653,0.99,0.99,0.99
8/1/17,1000 E. 49th St.,Chicago,IL,60615,1.1,0.99,0.99
2/5/17,1000 E. 53rd St. ,Chicago,IL,60615,0.99,0.99,0.99
6/7/16,1000 E. Hyde Park Blvd.,Chicago,IL,60615,0.99,0.99,0.99
8/5/18,1000 N River Walk St.,Chicago,IL,60610,0.99,0.99,0.99
3/23/16,1000 N. Cleveland Ave.,Chicago,IL,60610,0.99,0.99,0.99
6/24/18,1000 N. Crosby St.,Chicago,IL,60610,0.99,0.99,0.99
9/21/16,1000 N. Damen Ave.,Chicago,IL,60622,0.99,0.99,0.99
11/17/17,1000 N. Hermitage Ave.,Chicago,IL,60622,2.5,1,0.99
6/9/18,1000 N. Hermitage Ave.,Chicago,IL,60622,0.99,0.99,0.99
9/7/16,1000 N. Honore St,Chicago,IL,60622,0.99,0.99,0.99
1/17/17,1000 N. Honore St.,Chicago,IL,60622,6.5,2,2.2
10/2/17,1000 N. Hoyne St.,Chicago,IL,60622,0.99,0.99,1
7/23/16,1000 N. La Salle Dr.,Chicago,IL,60610,1.5,1.5,1.3
8/29/16,1000 N. Lawndale Ave.,Chicago,IL,60651,13,4.4,3.6
7/8/18,1000 N. Leavitt St. ,Chicago,IL,60622,0.99,0.99,0.99
6/21/18,1000 N. Marshfield Ave. ,Chicago,IL,60622,0.99,0.99,0.99
8/31/17,1000 N. Mozart St.,Chicago,IL,60622,1.4,1.6,1.4
5/21/18,1000 N. Mozart St.,Chicago,IL,60622,0.99,0.99,0.99
5/22/18,1000 N. Paulina St.,Chicago,IL,60622,0.99,0.99,0.99
1/25/18,1000 N. State St.,Chicago,IL,60610,0.99,0.99,0.99
3/13/17,1000 N. State St. ,Chicago,IL,60610,0.99,0.99,0.99
7/12/18,1000 N. Western Ave. ,Chicago,IL,60622,2.7,3.4,2.5
6/3/16,1000 N. Winchester Ave.,Chicago,IL,60622,0.99,0.99,0.99
6/30/18,1000 N. Winchester Ave. ,Chicago,IL,60622,3.6,3.9,3.6
7/8/18,1000 N. Wood St.,Chicago,IL,60622,0.99,0.99,0.99
11/28/16,1000 N. Wood St.,Chicago,IL,60622,0.99,0.99,0.99
10/3/17,1000 S. Plymouth Ct.,Chicago,IL,60605,0.99,0.99,0.99
7/11/18,1000 S. Wabash Ave. ,Chicago,IL,60605,0.99,0.99,0.99
9/8/16,1000 W 129th Pl,Chicago,IL,60643,6.1,2.9,3.2
7/8/18,1000 W Foster Ave,Chicago,IL,60643,0.99,0.99,0.99
4/21/16,1000 W. 102nd St.,Chicago,IL,60643,1.82,0.99,0.99
6/3/16,1000 W. 102nd St.,Chicago,IL,60643,2.6,7.4,1.7
2/12/16,1000 W. 102nd St.*,Chicago,IL,60643,1.37,0.99,0.99
8/17/16,1000 W. 108th St.,Chicago,IL,60643,3.4,3.3,2.4
7/24/18,1000 W. 15th St.,Chicago,IL,60608,0.99,0.99,0.99
7/20/17,1000 W. 18th St. Apt. 2r,Chicago,IL,60608,110,3,1.4
6/2/18,1000 W. Albion Ave.,Chicago,IL,60626,3.3,6.5,1.7
7/10/18,1000 W. Albion Ave.,Chicago,IL,60626,0.99,0.99,0.99
3/14/17,1000 W. Balmoral Ave.,Chicago,IL,60640,0.99,0.99,0.99
1/21/18,1000 W. Barry Ave.,Chicago,IL,60657,1.2,0.99,0.99
8/16/16,1000 W. Byron St.,Chicago,IL,60613,1,0.99,1
6/21/18,1000 W. Catalpa Ave. ,Chicago,IL,60640,0.99,0.99,0.99
2/20/18,1000 W. Columbia Ave.,Chicago,IL,60626,0.99,0.99,0.99
4/29/18,1000 W. Columbia Ave.,Chicago,IL,60626,0.99,0.99,0.99
10/17/16,1000 W. Cullerton St.,Chicago,IL,60608,0.99,0.99,0.99
8/9/16,1000 W. Dakin St.,Chicago,IL,60613,1.7,1.7,4.5
7/26/18,1000 W. Dakin St.,Chicago,IL,60613,2.2,1.1,1.1
6/18/17,1000 W. Dickens Ave.,Chicago,IL,60614,4.2,9.2,16
5/12/18,1000 W. Dickens Ave.,Chicago,IL,60614,0.99,0.99,0.99
7/4/16,1000 W. Foster Ave.,Chicago,IL,60640,0.99,0.99,0.99
7/24/16,1000 W. Grace St.,Chicago,IL,60613,1.7,0.99,0.99
6/27/18,1000 W. Hubbard St.,Chicago,IL,60642,0.99,0.99,0.99
7/29/18,1000 W. Lawrence Ave.,Chicago,IL,60640,0.99,0.99,0.99
6/17/18,1000 W. Van Buren St.,Chicago,IL,60607,0.99,0.99,0.99
7/30/18,1000 W. Vernon Park Pl.,Chicago,IL,60607,0.99,0.99,0.99
2/4/17,1000 W. Washington Blvd. ,Chicago,IL,60607,0.99,0.99,0.99
1/25/17,1000 W. Washington Blvd. ,Chicago,IL,60607,0.99,0.99,0.99
6/23/16,10000 S Washtenaw Ave,Chicago,IL,60655,4,4.7,11
4/23/18,10000 S. Bell Ave.,Chicago,IL,60643,1.7,3.4,1.6
6/6/16,10000 S. Calhoun Ave.,Chicago,IL,60617,4.1,5.1,9.8
7/4/16,10000 S. Damen Ave.,Chicago,IL,60643,1.6,5.5,1.5
7/30/16,10000 S. Damen Ave.,Chicago,IL,60643,1.7,2.5,1.4
7/8/16,10000 S. Damen Ave.,Chicago,IL,60643,2.5,4.8,1.9
6/18/18,10000 S. Exchange Ave.,Chicago,IL,60617,5.2,3,2.8
10/19/16,10000 S. Fairfield Ave.,Chicago,IL,60655,2.4,2.3,1.7
9/29/16,10000 S. Hamilton Ave.,Chicago,IL,60643,2.9,3,2.7
10/2/16,10000 S. Hoyne Ave.,Chicago,IL,60643,1.3,2.3,0.99
3/30/18,10000 S. Morgan St.,Chicago,IL,60643,1.6,5.6,1.3
7/3/16,10000 S. Oakley Ave.,Chicago,IL,60643,2.1,2.2,2.1
7/6/16,10000 S. Oakley Ave.,Chicago,IL,60643,2.6,1.1,0.99
3/26/17,10000 S. Seeley Ave.,Chicago,IL,60643,7.4,3.1,1.9
8/2/16,1001 N. Oak Park Ave.,Chicago,IL,60302,3.4,1.7,1.6
7/11/16,10100 S. Artesian Ave.,Chicago,IL,60655,1.5,4.1,1.4
7/11/16,10100 S. Beverly Ave.,Chicago,IL,60643,3.8,12,5.7
6/16/18,10100 S. Eberhart Ave.,Chicago,IL,60628,1.8,1.1,1.1
7/11/16,10100 S. Emerald Ave.,Chicago,IL,60628,1.5,1.2,1.2
6/25/18,10100 S. Hoyne Ave.,Chicago,IL,60643,1.4,2.6,3.7
5/16/16,10100 S. Indiana Ave.,Chicago,IL,60628,1.9,1.5,1.4
3/9/18,10100 S. Indiana Ave.,Chicago,IL,60628,3.4,0.99,0.99
1/25/17,10100 S. Morgan St.,Chicago,IL,60643,6.2,7.3,2.2
